destination,month,duration_days,group_size,pace,total_budget_inr
Rajasthan,3,10,7,Budget,85697.86991150829
Rajasthan,5,5,8,Moderate,80254.87070683483
Rajasthan,9,7,6,Moderate,97435.66101304286
Himachal Pradesh,10,1,4,Luxury,38957.855421404136
Agra,1,1,8,Moderate,20870.23602163985
Maharashtra,8,4,7,Luxury,267339.62230806734
Agra,1,13,8,Budget,135608.780565074
Goa,9,10,7,Budget,112404.73629186396
Agra,6,6,3,Moderate,44537.67196992058
Himachal Pradesh,1,9,3,Budget,39685.06360644536
Goa,8,1,9,Moderate,27509.59874540573
Agra,5,11,7,Luxury,481494.89360167884
Himachal Pradesh,7,10,1,Moderate,42092.79778853092
Maharashtra,7,5,3,Moderate,60663.00820550117
Agra,7,9,1,Budget,14845.27636221804
Himachal Pradesh,6,8,6,Budget,87447.65097109946
Rajasthan,11,7,2,Budget,36791.93694799482
Karnataka,8,13,7,Moderate,251436.1638994342
Rajasthan,9,10,8,Budget,92436.45500302265
Karnataka,12,2,6,Luxury,131936.21663528183
Kerala,2,9,5,Moderate,165090.54268509534
Kerala,7,12,4,Moderate,139235.93296077877
Kerala,2,13,9,Moderate,277008.7944205732
Maharashtra,6,8,8,Luxury,564084.9568992042
Rajasthan,2,13,5,Luxury,582962.3669239793
Karnataka,10,11,1,Budget,20153.704246174155
Himachal Pradesh,6,10,8,Budget,152518.0716981666
Goa,2,10,8,Moderate,246288.17507635016
Himachal Pradesh,1,9,7,Budget,85005.58777643753
Goa,7,9,7,Luxury,554786.4497315178
Uttarakhand,3,9,8,Budget,71900.0074769724
Himachal Pradesh,12,3,1,Budget,9150.797947487421
Agra,4,7,3,Moderate,63608.12639263386
Agra,6,12,4,Luxury,388752.50877074426
Delhi,5,1,6,Luxury,52337.5030692544
Rajasthan,4,9,9,Luxury,454572.05106241384
Goa,9,14,4,Budget,99632.2265343987
Goa,6,9,6,Luxury,609925.2222766686
Rajasthan,6,3,9,Budget,28102.182400349484
Maharashtra,2,5,9,Moderate,116493.82308434701
Delhi,6,12,6,Luxury,632261.5040447601
Maharashtra,7,13,5,Moderate,212110.67081895654
Maharashtra,8,8,3,Budget,45112.47257461491
Maharashtra,8,6,5,Luxury,267216.6394711058
Rajasthan,9,10,3,Budget,54215.78140415965
Maharashtra,10,10,5,Luxury,575574.2883571674
Agra,11,9,1,Budget,15211.172618423074
Kerala,12,14,6,Budget,208985.42660893165
Uttarakhand,3,13,7,Budget,109168.57454534345
Goa,10,3,2,Moderate,22930.492163540446
Goa,7,12,3,Luxury,374925.2186849173
Uttarakhand,7,7,9,Budget,51663.36130702535
Rajasthan,1,13,8,Luxury,925987.2736153242
Himachal Pradesh,8,6,4,Budget,40241.31229372954
Rajasthan,4,14,8,Luxury,762604.4583723455
Goa,5,5,8,Budget,67218.06004768878
Goa,6,4,6,Budget,37906.43220882244
Uttarakhand,3,5,1,Moderate,17083.35883011856
Maharashtra,5,13,2,Luxury,300679.1539814644
Rajasthan,10,4,4,Moderate,41864.01181580571
Karnataka,5,3,4,Budget,21005.02096673354
Uttarakhand,1,7,2,Moderate,41283.22508778639
Agra,3,6,9,Moderate,109357.3898447228
Goa,3,4,2,Moderate,38682.87513300804
Uttarakhand,1,9,6,Moderate,142047.22059727804
Rajasthan,7,1,5,Luxury,36048.751967924385
Goa,1,1,4,Moderate,26158.591465070564
Himachal Pradesh,7,9,6,Budget,68273.83502574443
Uttarakhand,4,7,4,Budget,43007.27791644503
Delhi,9,2,9,Moderate,39008.206502226014
Goa,7,11,7,Moderate,233633.38073271423
Rajasthan,5,10,3,Moderate,100774.2713393338
Kerala,7,5,4,Budget,34069.98192777444
Karnataka,9,13,1,Moderate,52349.35834107579
Tamil Nadu,10,4,6,Luxury,178936.3738724003
Maharashtra,6,1,2,Moderate,7666.168459540266
Tamil Nadu,1,12,4,Luxury,464468.84763859806
Rajasthan,6,13,5,Moderate,174034.34387818837
Agra,1,9,8,Budget,83555.07776318885
Agra,12,6,3,Budget,25749.36624509107
Kerala,4,11,6,Moderate,207605.34832218924
Maharashtra,8,13,1,Luxury,156005.09454796297
Delhi,5,14,9,Budget,134742.62699516557
Kerala,5,12,1,Budget,24190.927163739958
Tamil Nadu,10,6,2,Budget,20825.273667780784
Kerala,11,4,1,Moderate,26604.175703974564
Tamil Nadu,8,13,8,Moderate,255817.99262155575
Goa,8,2,4,Moderate,28227.669319357152
Agra,1,8,2,Luxury,141232.96380405693
Goa,5,8,7,Moderate,172426.00833454513
Karnataka,12,3,8,Luxury,232517.34236141833
Maharashtra,5,7,9,Moderate,163534.7808353274
Delhi,8,14,5,Luxury,565689.755078223
Tamil Nadu,1,7,3,Luxury,242862.11819983806
Delhi,7,14,1,Moderate,52121.475284101696
Tamil Nadu,7,5,8,Luxury,273891.45578797226
Rajasthan,9,5,6,Budget,39547.26384371682
Kerala,2,8,5,Budget,64585.23191031017
Karnataka,3,4,7,Moderate,73734.48136773349
Agra,4,1,5,Budget,6094.725814286448
Tamil Nadu,1,1,4,Moderate,12277.750918967778
Delhi,7,9,5,Luxury,349172.10481263173
Karnataka,10,4,7,Budget,34889.64336044059
Himachal Pradesh,3,1,6,Luxury,56770.65452297044
Himachal Pradesh,3,13,9,Moderate,263750.35592929064
Goa,3,2,2,Moderate,19287.01714331999
Agra,8,10,7,Luxury,479814.7845628328
Rajasthan,9,7,1,Moderate,27157.050089811917
Delhi,10,2,8,Budget,16202.448814484991
Kerala,2,1,4,Moderate,12167.049103512963
Kerala,10,10,8,Budget,95782.74029313892
Delhi,10,14,8,Moderate,267230.7511073422
Maharashtra,1,9,4,Budget,76563.4331209395
Rajasthan,9,14,4,Moderate,150097.2731841059
Karnataka,6,5,5,Moderate,79456.37307565105
Tamil Nadu,9,14,7,Luxury,682700.496825908
Maharashtra,6,13,6,Luxury,788180.2840379863
Tamil Nadu,2,4,1,Budget,7410.755405200729
Tamil Nadu,1,4,6,Luxury,240446.90556648653
Maharashtra,8,14,3,Luxury,447862.8897657998
Goa,3,11,9,Budget,119958.95605997065
Himachal Pradesh,1,13,3,Luxury,392196.3842936847
Tamil Nadu,8,1,9,Budget,7797.71329864234
Maharashtra,12,3,5,Budget,26102.891833396363
Maharashtra,1,13,8,Budget,194786.3409479863
Uttarakhand,8,1,9,Budget,9862.968668095758
Goa,1,5,9,Moderate,174146.09767929252
Agra,9,5,7,Moderate,80567.56242145544
Uttarakhand,9,9,1,Budget,13205.19874028585
Uttarakhand,12,13,8,Luxury,886000.9322686009
Delhi,9,8,7,Budget,73260.34095262604
Himachal Pradesh,3,5,4,Budget,32789.760335089544
Maharashtra,4,5,6,Luxury,310811.0997661838
Himachal Pradesh,5,7,2,Budget,40472.8461128961
Rajasthan,6,12,4,Moderate,121766.31588965758
Delhi,9,2,8,Budget,20517.882569089456
Agra,11,13,4,Moderate,154988.31812571472
Himachal Pradesh,12,7,4,Luxury,369358.4022527757
Kerala,4,1,4,Luxury,34688.071838663396
Tamil Nadu,6,14,9,Luxury,823512.2906054555
Rajasthan,1,5,2,Moderate,53750.12134816706
Goa,2,12,7,Budget,147938.27259596242
Agra,8,12,3,Luxury,262500.7308657234
Rajasthan,4,6,4,Luxury,195893.1351015253
Tamil Nadu,10,13,1,Luxury,121114.31576480935
Delhi,7,11,3,Budget,52446.00061587875
Tamil Nadu,4,14,2,Budget,41850.64681525105
Uttarakhand,9,10,7,Moderate,147379.13577024886
Tamil Nadu,9,1,6,Moderate,13436.401633360876
Uttarakhand,4,9,1,Budget,12927.748309614926
Delhi,8,9,8,Budget,81235.12942011785
Karnataka,6,1,9,Luxury,58967.17426137998
Uttarakhand,1,4,1,Luxury,41684.712418606425
Goa,7,8,5,Moderate,157989.35416429295
Tamil Nadu,1,2,7,Luxury,123430.88446997208
Tamil Nadu,3,13,2,Budget,44804.45474813556
Goa,8,13,6,Budget,116179.54044689135
Kerala,9,11,8,Moderate,225900.62438209093
Maharashtra,3,13,8,Budget,132865.46620686035
Karnataka,1,8,8,Moderate,170950.7940597773
Agra,1,10,6,Luxury,517010.93609882734
Uttarakhand,7,13,6,Moderate,205801.80280912755
Goa,5,12,3,Budget,64474.30477858514
Delhi,1,14,2,Luxury,297363.9474780412
Uttarakhand,6,13,5,Budget,121351.31362725672
Maharashtra,6,9,9,Budget,91169.14599334003
Delhi,4,9,4,Luxury,347169.60216074286
Rajasthan,7,14,5,Budget,107663.63681561076
Tamil Nadu,7,1,6,Budget,7475.8850277579195
Rajasthan,12,9,6,Luxury,716027.9321987155
Uttarakhand,9,4,4,Budget,18628.850547795995
Maharashtra,12,12,4,Moderate,188754.37244556658
Karnataka,1,12,8,Budget,149870.91977391785
Uttarakhand,5,8,5,Budget,81513.79074999258
Goa,10,13,5,Luxury,798998.0482199434
Himachal Pradesh,3,14,9,Moderate,244222.30500416065
Uttarakhand,7,9,4,Budget,50896.81097006558
Tamil Nadu,4,3,7,Luxury,124893.65679805407
Tamil Nadu,4,6,5,Budget,41979.87067868897
Uttarakhand,12,3,9,Budget,39206.00975962617
Delhi,1,1,8,Budget,12091.703484077347
Himachal Pradesh,1,10,8,Moderate,199345.40583837594
Goa,10,6,3,Luxury,241670.87532552204
Uttarakhand,2,5,9,Moderate,97386.02131763913
Delhi,2,3,8,Budget,27572.144410236095
Tamil Nadu,1,14,3,Moderate,150770.92773377997
Tamil Nadu,8,14,1,Budget,23140.588885905083
Maharashtra,6,4,5,Moderate,67293.46828630165
Uttarakhand,6,2,4,Luxury,98919.06806250385
Himachal Pradesh,10,12,8,Moderate,206341.58158167003
Kerala,10,10,6,Luxury,532303.4785091784
Himachal Pradesh,9,10,5,Budget,76546.89514032095
Tamil Nadu,5,13,9,Luxury,635445.7351865816
Tamil Nadu,4,14,6,Budget,105237.19336551888
Rajasthan,11,4,3,Moderate,55945.7744532863
Tamil Nadu,6,4,6,Moderate,63633.71956279877
Goa,8,3,4,Luxury,131639.58959113157
Agra,1,6,5,Moderate,98058.12012563646
Uttarakhand,7,1,6,Moderate,14027.315106901497
Himachal Pradesh,8,9,9,Budget,95965.98201569828
Agra,9,11,3,Moderate,81660.49575510272
Delhi,11,10,1,Budget,22188.539235188706
Kerala,8,3,2,Luxury,68684.26377698939
Goa,7,3,8,Moderate,66877.49740413633
Himachal Pradesh,3,12,4,Luxury,443898.0395197872
Agra,2,3,7,Moderate,42452.26149292858
Kerala,3,7,2,Luxury,156605.2685801318
Rajasthan,4,8,8,Luxury,403731.8950044063
Goa,4,2,9,Budget,22677.253617924427
Goa,6,1,7,Moderate,25082.070075584918
Rajasthan,12,5,1,Luxury,74054.80800933427
Uttarakhand,7,8,2,Budget,25245.92142353875
Rajasthan,12,14,9,Luxury,1135454.0325208788
Goa,4,3,7,Luxury,216955.8324459744
Goa,10,6,3,Luxury,231556.0238812124
Agra,6,3,5,Moderate,34144.85463890237
Tamil Nadu,9,6,1,Moderate,21086.745950826724
Kerala,6,12,3,Luxury,418746.6638177968
Rajasthan,3,4,4,Luxury,127304.4129322009
Kerala,1,14,4,Luxury,876886.74543252
Rajasthan,11,11,7,Moderate,309101.45665670093
Delhi,10,7,5,Luxury,254340.77337864347
Goa,10,11,9,Luxury,803792.4252633861
Tamil Nadu,5,10,7,Luxury,534556.1708490016
Agra,10,1,2,Luxury,19422.672694935038
Tamil Nadu,10,1,8,Moderate,17963.011443854724
Tamil Nadu,3,5,2,Budget,14865.255291688287
Tamil Nadu,8,9,7,Budget,75053.6920018004
Kerala,10,5,5,Luxury,205970.16042510464
Rajasthan,1,4,6,Budget,46624.339561010434
Karnataka,11,8,4,Budget,64502.081158615
Delhi,2,13,5,Moderate,156676.9080085568
Himachal Pradesh,3,5,5,Luxury,235061.1691185676
Tamil Nadu,3,1,7,Moderate,16598.45026374011
Uttarakhand,12,7,4,Budget,48348.744157156674
Kerala,8,11,5,Budget,89827.48007722925
Agra,5,4,4,Luxury,119075.01334553763
Himachal Pradesh,8,10,4,Luxury,385138.23838417116
Karnataka,11,5,8,Moderate,109393.47772429966
Uttarakhand,11,13,5,Luxury,545677.2114261088
Karnataka,6,6,9,Budget,57524.166550606686
Himachal Pradesh,12,13,5,Moderate,300774.9068881252
Tamil Nadu,2,7,8,Moderate,104861.38652524537
Uttarakhand,11,11,3,Luxury,266180.5173403815
Karnataka,4,2,7,Luxury,105603.73348316312
Agra,9,14,1,Budget,20398.85157292978
Rajasthan,4,1,5,Moderate,13753.437651846318
Goa,5,12,2,Moderate,107290.55214646165
Rajasthan,5,3,8,Moderate,55813.01591213956
Himachal Pradesh,10,10,6,Moderate,172079.74487920283
Kerala,8,12,5,Budget,105724.96468310352
Goa,6,1,3,Budget,5521.264173303871
Delhi,10,4,1,Budget,7756.501514663789
Agra,7,6,8,Luxury,307034.8706300821
Delhi,6,5,5,Budget,31804.792596169795
Uttarakhand,5,13,9,Budget,163100.61299508205
Goa,5,11,7,Budget,111207.14747898748
Delhi,3,4,1,Budget,7929.923349533241
Delhi,7,7,1,Luxury,73344.53916545874
Karnataka,10,13,7,Moderate,214741.09911938108
Rajasthan,5,11,7,Moderate,196353.1327548248
Karnataka,7,11,9,Luxury,700326.3507604378
Goa,2,6,2,Budget,26457.741454672665
Goa,9,3,7,Moderate,61023.777756243406
Himachal Pradesh,8,9,2,Moderate,69565.2703868618
Karnataka,5,5,2,Moderate,39679.739285933676
Maharashtra,2,13,5,Moderate,248023.87359572135
Rajasthan,6,10,9,Budget,99588.24897854534
Goa,8,1,9,Moderate,26780.38798372382
Himachal Pradesh,7,13,1,Luxury,169479.97029335555
Karnataka,8,6,7,Luxury,281636.0673975393
Rajasthan,4,5,3,Moderate,46923.84136776603
Karnataka,3,10,1,Budget,17342.314749848814
Delhi,7,8,2,Moderate,52797.60328390277
Himachal Pradesh,2,4,6,Moderate,76955.15321896871
Rajasthan,5,12,2,Moderate,91372.2646023049
Tamil Nadu,7,1,2,Luxury,21094.988335216673
Uttarakhand,1,11,4,Luxury,326415.9139148846
Uttarakhand,4,2,3,Budget,9425.024247309737
Rajasthan,2,8,8,Moderate,159475.24127377078
Karnataka,6,10,8,Moderate,196981.76744407733
Himachal Pradesh,12,8,6,Moderate,203866.83796964498
Uttarakhand,1,13,4,Moderate,158640.1238437628
Himachal Pradesh,7,14,7,Luxury,897976.8657400033
Uttarakhand,3,5,9,Budget,37239.30258365938
Delhi,12,6,2,Luxury,133175.66517183374
Karnataka,1,2,6,Moderate,45169.698019930096
Delhi,8,11,7,Luxury,536942.1164461279
Uttarakhand,7,12,1,Budget,16933.377440426568
Tamil Nadu,2,9,6,Moderate,126162.90245616111
Tamil Nadu,7,6,8,Moderate,103531.29770701514
Delhi,3,12,7,Luxury,596301.8219020889
Tamil Nadu,9,9,2,Luxury,183932.04992713695
Uttarakhand,8,11,2,Luxury,207323.45810824173
Rajasthan,5,10,4,Budget,58338.04633081053
Delhi,7,3,5,Budget,24132.74570340817
Kerala,3,6,5,Budget,53557.51932505247
Karnataka,1,10,2,Moderate,93527.98931213966
Tamil Nadu,1,5,7,Moderate,98977.47360378975
Tamil Nadu,11,9,8,Luxury,602674.2042742667
Goa,2,13,2,Moderate,105677.60041130212
Maharashtra,8,10,4,Budget,67755.39877220281
Delhi,1,1,3,Moderate,12673.764645637079
Agra,11,9,4,Luxury,340080.44532318256
Tamil Nadu,12,5,5,Luxury,226450.86641029123
Karnataka,5,1,6,Luxury,55124.66381593804
Kerala,9,10,2,Luxury,224070.69519823988
Tamil Nadu,12,8,6,Moderate,138282.16856394318
Kerala,9,7,9,Luxury,389121.3508593473
Uttarakhand,2,14,8,Moderate,245470.1282423769
Uttarakhand,7,6,1,Luxury,58164.0615863821
Maharashtra,11,2,9,Luxury,154077.73440350674
Rajasthan,1,5,2,Moderate,44478.04766459111
Agra,3,3,1,Budget,4071.2610926861903
Goa,6,2,6,Budget,18578.53673979009
